Country,Time_Year,Time_Quarter,Car_Manufacturer,Sales_Units
United States,2018,3,Ford,563
United States,2018,3,BMW,518
United States,2018,3,Honda,647
United States,2018,3,Toyota,550
United States,2018,4,Ford,613
United States,2018,4,BMW,658
United States,2018,4,Honda,658
United States,2018,4,Toyota,635
United States,2018,1,Ford,548
United States,2018,1,BMW,790
United States,2018,1,Honda,509
United States,2018,1,Toyota,618
United States,2018,2,Ford,561
United States,2018,2,BMW,786
United States,2018,2,Honda,764
United States,2018,2,Toyota,537
United States,2017,3,Ford,752
United States,2017,3,BMW,611
United States,2017,3,Honda,711
United States,2017,3,Toyota,583
United States,2017,4,Ford,763
United States,2017,4,BMW,605
United States,2017,4,Honda,764
United States,2017,4,Toyota,546
United States,2017,1,Ford,525
United States,2017,1,BMW,794
United States,2017,1,Honda,568
United States,2017,1,Toyota,531
United States,2017,2,Ford,574
United States,2017,2,BMW,770
United States,2017,2,Honda,769
United States,2017,2,Toyota,675
Canada,2018,3,Ford,719
Canada,2018,3,BMW,570
Canada,2018,3,Honda,609
Canada,2018,3,Toyota,500
Canada,2018,4,Ford,700
Canada,2018,4,BMW,634
Canada,2018,4,Honda,579
Canada,2018,4,Toyota,667
Canada,2018,1,Ford,745
Canada,2018,1,BMW,507
Canada,2018,1,Honda,587
Canada,2018,1,Toyota,716
Canada,2018,2,Ford,775
Canada,2018,2,BMW,698
Canada,2018,2,Honda,685
Canada,2018,2,Toyota,758
Canada,2017,3,Ford,556
Canada,2017,3,BMW,629
Canada,2017,3,Honda,609
Canada,2017,3,Toyota,625
Canada,2017,4,Ford,588
Canada,2017,4,BMW,629
Canada,2017,4,Honda,781
Canada,2017,4,Toyota,590
Canada,2017,1,Ford,619
Canada,2017,1,BMW,576
Canada,2017,1,Honda,588
Canada,2017,1,Toyota,601
Canada,2017,2,Ford,747
Canada,2017,2,BMW,557
Canada,2017,2,Honda,782
Canada,2017,2,Toyota,745
